,Player,value,age,club,position
0,"
André Onana ",€40.00m ,27,Manchester United,Portero
1,"
Ederson ",€40.00m ,30,Manchester City,Portero
2,"
Alisson ",€35.00m ,31,Liverpool FC,Portero
3,"
David Raya ",€32.00m ,28,Arsenal FC,Portero
4,"
Aaron Ramsdale ",€32.00m ,25,Arsenal FC,Portero
5,"
Robert Sánchez ",€28.00m ,25,Chelsea FC,Portero
6,"
Emiliano Martínez ",€28.00m ,31,Aston Villa,Portero
7,"
Jordan Pickford ",€22.00m ,29,Everton FC,Portero
8,"
Guglielmo Vicario ",€20.00m ,27,Tottenham Hotspur,Portero
9,"
Nick Pope ",€20.00m ,31,Newcastle United,Portero
10,"
Dean Henderson ",€18.00m ,26,Crystal Palace,Portero
11,"
José Sá ",€18.00m ,30,Wolverhampton Wanderers,Portero
12,"
Bart Verbruggen ",€15.00m ,21,Brighton & Hove Albion,Portero
13,"
Caoimhín Kelleher ",€15.00m ,24,Liverpool FC,Portero
14,"
James Trafford ",€15.00m ,21,Burnley FC,Portero
15,"
Mark Flekken ",€12.00m ,30,Brentford FC,Portero
16,"
Bernd Leno ",€12.00m ,31,Fulham FC,Portero
17,"
Odysseas Vlachodimos ",€10.00m ,29,Nottingham Forest,Portero
18,"
Altay Bayındır ",€10.00m ,25,Manchester United,Portero
19,"
Matt Turner ",€10.00m ,29,Nottingham Forest,Portero
20,"
Sam Johnstone ",€10.00m ,30,Crystal Palace,Portero
21,"
Alphonse Areola ",€10.00m ,30,West Ham United,Portero
22,"
Stefan Ortega ",€9.00m ,31,Manchester City,Portero
23,"
Djordje Petrovic ",€9.00m ,24,Chelsea FC,Portero
24,"
Arijanet Muric ",€9.00m ,25,Burnley FC,Portero
25,"
Jason Steele ",€4.00m ,33,Brighton & Hove Albion,Portero
26,"
Ionut Radu ",€3.50m ,26,AFC Bournemouth,Portero
27,"
Mark Travers ",€3.50m  ,24,AFC Bournemouth,Portero
28,"
Zack Steffen ",€3.50m ,28,Manchester City,Portero
29,"
Thomas Strakosha ",€3.50m ,28,Brentford FC,Portero
30,"
Marek Rodak ",€3.00m ,26,Fulham FC,Portero
31,"
Thomas Kaminski ",€2.80m ,31,Luton Town,Portero
32,"
Neto ",€2.50m ,34,AFC Bournemouth,Portero
33,"
Daniel Bentley ",€2.00m ,30,Wolverhampton Wanderers,Portero
34,"
Hugo Lloris ",€2.00m ,36,Tottenham Hotspur,Portero
35,"
Fraser Forster ",€1.50m ,35,Tottenham Hotspur,Portero
36,"
Ethan Horvath ",€1.50m ,28,Nottingham Forest,Portero
37,"
Martin Dúbravka ",€1.50m ,34,Newcastle United,Portero
38,"
Karl Hein ",€1.50m ,21,Arsenal FC,Portero
39,"
Robin Olsen ",€1.50m ,33,Aston Villa,Portero
40,"
Marcus Bettinelli ",€1.50m ,31,Chelsea FC,Portero
41,"
Loris Karius ",€1.20m ,30,Newcastle United,Portero
42,"
Steven Benda ",€1.00m ,25,Fulham FC,Portero
43,"
Joe Whitworth ",€900k ,19,Crystal Palace,Portero
44,"
Lukasz Fabianski ",€900k ,38,West Ham United,Portero
45,"
Adrián ",€800k ,36,Liverpool FC,Portero
46,"
Wes Foderingham ",€700k ,32,Sheffield United,Portero
47,"
João Virgínia ",€600k ,24,Everton FC,Portero
48,"
Brandon Austin ",€600k ,24,Tottenham Hotspur,Portero
49,"
Tim Krul ",€600k ,35,Luton Town,Portero
50,"
Josko Gvardiol ",€80.00m ,21,Manchester City,Defensa
51,"
Rúben Dias ",€80.00m ,26,Manchester City,Defensa
52,"
William Saliba ",€70.00m ,22,Arsenal FC,Defensa
53,"
Trent Alexander-Arnold ",€65.00m ,25,Liverpool FC,Defensa
54,"
Cristian Romero ",€60.00m ,25,Tottenham Hotspur,Defensa
55,"
Gabriel Magalhães ",€55.00m ,25,Arsenal FC,Defensa
56,"
Reece James ",€55.00m ,23,Chelsea FC,Defensa
57,"
Ben White ",€55.00m ,26,Arsenal FC,Defensa
58,"
Lisandro Martínez ",€50.00m ,25,Manchester United,Defensa
59,"
Sven Botman ",€45.00m ,23,Newcastle United,Defensa
60,"
Pau Torres ",€45.00m ,26,Aston Villa,Defensa
61,"
Jurrien Timber ",€42.00m ,22,Arsenal FC,Defensa
62,"
Nathan Aké ",€42.00m ,28,Manchester City,Defensa
63,"
Oleksandr Zinchenko ",€42.00m ,26,Arsenal FC,Defensa
64,"
Luke Shaw ",€42.00m ,28,Manchester United,Defensa
65,"
Levi Colwill ",€42.00m ,20,Chelsea FC,Defensa
66,"
Pedro Porro ",€40.00m ,24,Tottenham Hotspur,Defensa
67,"
Axel Disasi ",€40.00m ,25,Chelsea FC,Defensa
68,"
Benoît Badiashile ",€40.00m ,22,Chelsea FC,Defensa
69,"
Micky van de Ven ",€40.00m ,22,Tottenham Hotspur,Defensa
70,"
John Stones ",€40.00m ,29,Manchester City,Defensa
71,"
Andrew Robertson ",€40.00m ,29,Liverpool FC,Defensa
72,"
Diogo Dalot ",€40.00m ,24,Manchester United,Defensa
73,"
Wesley Fofana ",€40.00m ,22,Chelsea FC,Defensa
74,"
Ibrahima Konaté ",€38.00m ,24,Liverpool FC,Defensa
75,"
Destiny Udogie ",€38.00m ,20,Tottenham Hotspur,Defensa
76,"
Manuel Akanji ",€38.00m ,28,Manchester City,Defensa
77,"
Marc Guéhi ",€35.00m ,23,Crystal Palace,Defensa
78,"
Virgil van Dijk ",€35.00m ,32,Liverpool FC,Defensa
79,"
Pervis Estupiñán ",€35.00m ,25,Brighton & Hove Albion,Defensa
80,"
Raphaël Varane ",€35.00m ,30,Manchester United,Defensa
81,"
Nayef Aguerd ",€35.00m ,27,West Ham United,Defensa
82,"
Ben Chilwell ",€35.00m ,26,Chelsea FC,Defensa
83,"
Max Kilman ",€35.00m ,26,Wolverhampton Wanderers,Defensa
84,"
Tino Livramento ",€30.00m ,20,Newcastle United,Defensa
85,"
Aaron Hickey ",€30.00m ,21,Brentford FC,Defensa
86,"
Joachim Andersen ",€30.00m ,27,Crystal Palace,Defensa
87,"
Marc Cucurella ",€28.00m ,25,Chelsea FC,Defensa
88,"
Rico Henry ",€28.00m ,26,Brentford FC,Defensa
89,"
Rayan Aït-Nouri ",€25.00m ,22,Wolverhampton Wanderers,Defensa
90,"
Matty Cash ",€25.00m ,26,Aston Villa,Defensa
91,"
Malo Gusto ",€25.00m ,20,Chelsea FC,Defensa
92,"
Jakub Kiwior ",€25.00m ,23,Arsenal FC,Defensa
93,"
Adam Webster ",€25.00m ,28,Brighton & Hove Albion,Defensa
94,"
Vitaliy Mykolenko ",€25.00m ,24,Everton FC,Defensa
95,"
Aaron Wan-Bissaka ",€25.00m ,25,Manchester United,Defensa
96,"
Takehiro Tomiyasu ",€25.00m ,25,Arsenal FC,Defensa
97,"
Ezri Konsa ",€25.00m ,26,Aston Villa,Defensa
98,"
Kurt Zouma ",€22.00m ,29,West Ham United,Defensa
99,"
Tyrell Malacia ",€22.00m ,24,Manchester United,Defensa
100,"
Tyrone Mings ",€22.00m ,30,Aston Villa,Defensa
101,"
Tyrick Mitchell ",€22.00m ,24,Crystal Palace,Defensa
102,"
Marcos Senesi ",€22.00m ,26,AFC Bournemouth,Defensa
103,"
Issa Diop ",€22.00m ,26,Fulham FC,Defensa
104,"
Nathan Collins ",€22.00m ,22,Brentford FC,Defensa
105,"
Joe Gomez ",€22.00m ,26,Liverpool FC,Defensa
106,"
Ian Maatsen ",€20.00m ,21,Chelsea FC,Defensa
107,"
Emerson Royal ",€20.00m ,24,Tottenham Hotspur,Defensa
108,"
Neco Williams ",€20.00m ,22,Nottingham Forest,Defensa
109,"
Ilya Zabarnyi ",€20.00m ,21,AFC Bournemouth,Defensa
110,"
Rico Lewis ",€20.00m ,18,Manchester City,Defensa
111,"
Anel Ahmedhodzic ",€20.00m ,24,Sheffield United,Defensa
112,"
Harry Maguire ",€20.00m ,30,Manchester United,Defensa
113,"
Jarrad Branthwaite ",€18.00m ,21,Everton FC,Defensa
114,"
Lloyd Kelly ",€18.00m ,25,AFC Bournemouth,Defensa
115,"
Konstantinos Tsimikas ",€18.00m ,27,Liverpool FC,Defensa
116,"
Trevoh Chalobah ",€18.00m ,24,Chelsea FC,Defensa
117,"
Victor Lindelöf ",€18.00m ,29,Manchester United,Defensa
118,"
James Tarkowski ",€18.00m ,30,Everton FC,Defensa
119,"
Nuno Tavares ",€18.00m ,23,Nottingham Forest,Defensa
120,"
Milos Kerkez ",€18.00m ,20,AFC Bournemouth,Defensa
121,"
Eric Dier ",€18.00m ,29,Tottenham Hotspur,Defensa
122,"
Lewis Hall ",€18.00m ,19,Newcastle United,Defensa
123,"
Diego Carlos ",€18.00m ,30,Aston Villa,Defensa
124,"
Moussa Niakhaté ",€18.00m ,27,Nottingham Forest,Defensa
125,"
Timothy Castagne ",€17.00m ,27,Fulham FC,Defensa
126,"
Jordan Beyer ",€16.00m ,23,Burnley FC,Defensa
127,"
Kristoffer Ajer ",€16.00m ,25,Brentford FC,Defensa
128,"
Lewis Dunk ",€16.00m ,31,Brighton & Hove Albion,Defensa
129,"
Nathan Patterson ",€16.00m ,22,Everton FC,Defensa
