,Player,value,age,club,position
0,"
Gianluigi Donnarumma ",€45.00m ,24,Paris Saint-Germain,Portero
1,"
Brice Samba ",€15.00m ,29,RC Lens,Portero
2,"
Pau López ",€14.00m ,28,Olympique Marseille,Portero
3,"
Alban Lafont ",€13.00m ,24,FC Nantes,Portero
4,"
Lucas Chevalier ",€10.00m ,22,LOSC Lille,Portero
5,"
Yehvann Diouf ",€10.00m ,23,Stade Reims,Portero
6,"
Guillaume Restes ",€9.00m ,18,FC Toulouse,Portero
7,"
Matz Sels ",€7.00m ,31,RC Strasbourg Alsace,Portero
8,"
Marcin Bulka ",€7.00m ,24,OGC Nice,Portero
9,"
Philipp Köhn ",€7.00m ,25,AS Monaco,Portero
10,"
Anthony Lopes ",€6.00m ,33,Olympique Lyon,Portero
11,"
Arnau Tenas ",€5.00m ,22,Paris Saint-Germain,Portero
12,"
Benjamin Lecomte ",€4.00m ,32,Montpellier HSC,Portero
13,"
Wuilker Fariñez ",€3.50m ,25,RC Lens,Portero
14,"
Yvon Mvogo ",€3.50m ,29,FC Lorient,Portero
15,"
Marco Bizot ",€3.50m ,32,Stade Brestois 29,Portero
16,"
Rubén Blanco ",€3.00m ,28,Olympique Marseille,Portero
17,"
Keylor Navas ",€3.00m ,36,Paris Saint-Germain,Portero
18,"
Sergio Rico ",€3.00m ,30,Paris Saint-Germain,Portero
19,"
Radoslaw Majecki ",€2.00m ,23,AS Monaco,Portero
20,"
Mory Diaw ",€2.00m ,30,Clermont Foot 63,Portero
21,"
Gauthier Gallon ",€2.00m ,30,Stade Rennais FC,Portero
22,"
Alfred Gomis ",€2.00m ,30,FC Lorient,Portero
23,"
Arthur Desmas ",€1.50m ,29,Le Havre AC,Portero
24,"
Dimitry Bertaud ",€1.50m ,25,Montpellier HSC,Portero
25,"
Rémy Descamps ",€1.50m ,27,FC Nantes,Portero
26,"
Steve Mandanda ",€1.00m ,38,Stade Rennais FC,Portero
27,"
Guillaume Dietsch ",€700k ,22,FC Metz,Portero
28,"
Alexandre Olliero ",€600k ,27,Stade Reims,Portero
29,"
Massamba N'Diaye ",€500k ,22,Clermont Foot 63,Portero
30,"
Salvatore Sirigu ",€500k ,36,OGC Nice,Portero
31,"
Alexandre Oukidja ",€500k ,35,FC Metz,Portero
32,"
Marc-Aurèle Caillard ",€500k ,29,FC Metz,Portero
33,"
Simon Ngapandouetnbu ",€400k ,20,Olympique Marseille,Portero
34,"
Rémy Riou ",€400k ,36,Olympique Lyon,Portero
35,"
Vito Mannone ",€300k ,35,LOSC Lille,Portero
36,"
Dominique Youfeigane ",€300k ,23,FC Lorient,Portero
37,"
Álex Domínguez ",€300k ,25,FC Toulouse,Portero
38,"
Adam Jakubech ",€300k ,26,LOSC Lille,Portero
39,"
Alexandre Letellier ",€300k ,32,Paris Saint-Germain,Portero
40,"
Yan Marillat ",€200k ,29,Stade Brestois 29,Portero
41,"
Belmin Dizdarevic ",€200k ,22,Montpellier HSC,Portero
42,"
Mathieu Gorgelin ",€200k ,33,Le Havre AC,Portero
43,"
Alaa Bellaarouch ",€200k ,21,RC Strasbourg Alsace,Portero
44,"
Yann Lienard ",€200k ,20,AS Monaco,Portero
45,"
Jean-Louis Leca ",€200k ,38,RC Lens,Portero
46,"
Grégoire Coudert ",€150k ,24,Stade Brestois 29,Portero
47,"
Yannick Pandor ",€150k ,22,RC Lens,Portero
48,"
Thomas Himeur ",€150k ,22,FC Toulouse,Portero
49,"
Jelle Van Neck ",€150k ,19,Olympique Marseille,Portero
50,"
Achraf Hakimi ",€65.00m ,25,Paris Saint-Germain,Defensa
51,"
Nuno Mendes ",€65.00m ,21,Paris Saint-Germain,Defensa
52,"
Marquinhos ",€65.00m ,29,Paris Saint-Germain,Defensa
53,"
Milan Skriniar ",€50.00m ,28,Paris Saint-Germain,Defensa
54,"
Lucas Hernández ",€45.00m ,27,Paris Saint-Germain,Defensa
55,"
Jean-Clair Todibo ",€30.00m ,23,OGC Nice,Defensa
56,"
Arthur Theate ",€22.00m ,23,Stade Rennais FC,Defensa
57,"
Facundo Medina ",€22.00m ,24,RC Lens,Defensa
58,"
Presnel Kimpembe ",€22.00m ,28,Paris Saint-Germain,Defensa
59,"
Kevin Danso ",€22.00m ,25,RC Lens,Defensa
60,"
Renan Lodi ",€20.00m ,25,Olympique Marseille,Defensa
61,"
Vanderson ",€20.00m ,22,AS Monaco,Defensa
62,"
Caio Henrique ",€20.00m ,26,AS Monaco,Defensa
63,"
Mohammed Salisu ",€18.00m ,24,AS Monaco,Defensa
64,"
Adrien Truffert ",€18.00m ,21,Stade Rennais FC,Defensa
65,"
Leny Yoro ",€18.00m ,17,LOSC Lille,Defensa
66,"
Tiago Djaló ",€16.00m ,23,LOSC Lille,Defensa
67,"
Chancel Mbemba ",€15.00m ,29,Olympique Marseille,Defensa
68,"
Bafodé Diakité ",€15.00m ,22,LOSC Lille,Defensa
69,"
Wilfried Singo ",€15.00m ,22,AS Monaco,Defensa
70,"
Abakar Sylla ",€15.00m ,20,RC Strasbourg Alsace,Defensa
71,"
Jonathan Clauss ",€14.00m ,31,Olympique Marseille,Defensa
72,"
Nordi Mukiele ",€14.00m ,26,Paris Saint-Germain,Defensa
73,"
Romain Perraud ",€12.00m ,26,OGC Nice,Defensa
74,"
Saël Kumbedi ",€12.00m ,18,Olympique Lyon,Defensa
75,"
Quentin Merlin ",€10.00m ,21,FC Nantes,Defensa
76,"
Samuel Gigot ",€10.00m ,30,Olympique Marseille,Defensa
77,"
Soungoutou Magassa ",€10.00m ,20,AS Monaco,Defensa
78,"
Lorenz Assignon ",€10.00m ,23,Stade Rennais FC,Defensa
79,"
Guillermo Maripán ",€10.00m ,29,AS Monaco,Defensa
80,"
Leonardo Balerdi ",€10.00m ,24,Olympique Marseille,Defensa
81,"
Warmed Omari ",€10.00m ,23,Stade Rennais FC,Defensa
82,"
Nicolás Tagliafico ",€9.00m ,31,Olympique Lyon,Defensa
83,"
Ismaël Doukouré ",€9.00m ,20,RC Strasbourg Alsace,Defensa
84,"
Melvin Bard ",€9.00m ,23,OGC Nice,Defensa
85,"
Joseph Okumu ",€9.00m ,26,Stade Reims,Defensa
86,"
Duje Caleta-Car ",€9.00m ,27,Olympique Lyon,Defensa
87,"
Sinaly Diomandé ",€9.00m ,22,Olympique Lyon,Defensa
88,"
Montassar Talbi ",€8.00m ,25,FC Lorient,Defensa
89,"
Isaak Touré ",€8.00m ,20,FC Lorient,Defensa
90,"
Arouna Sangante ",€8.00m ,21,Le Havre AC,Defensa
91,"
Jordan Lotomba ",€8.00m ,25,OGC Nice,Defensa
92,"
Emmanuel Agbadou ",€7.50m ,26,Stade Reims,Defensa
93,"
Jeanuël Belocian ",€7.00m ,18,Stade Rennais FC,Defensa
94,"
Youcef Atal ",€7.00m ,27,OGC Nice,Defensa
95,"
Maxime Estève ",€7.00m ,21,Montpellier HSC,Defensa
96,"
Lilian Brassier ",€7.00m ,24,Stade Brestois 29,Defensa
97,"
Alidu Seidu ",€7.00m ,23,Clermont Foot 63,Defensa
98,"
Junior Mwanga ",€6.00m ,20,RC Strasbourg Alsace,Defensa
99,"
Faitout Maouassa ",€6.00m ,25,RC Lens,Defensa
100,"
Thomas Foket ",€6.00m ,29,Stade Reims,Defensa
101,"
Chrislain Matsima ",€6.00m ,21,AS Monaco,Defensa
102,"
Christopher Wooh ",€6.00m ,22,Stade Rennais FC,Defensa
103,"
Ruben Aguilar ",€6.00m ,30,RC Lens,Defensa
104,"
Rasmus Nicolaisen ",€6.00m ,26,FC Toulouse,Defensa
105,"
Ismail Jakobs ",€6.00m ,24,AS Monaco,Defensa
106,"
Formose Mendy ",€5.00m ,22,FC Lorient,Defensa
107,"
Brendan Chardonnet ",€5.00m ,28,Stade Brestois 29,Defensa
108,"
Jonathan Gradit ",€5.00m ,30,RC Lens,Defensa
109,"
Kiki Kouyaté ",€5.00m ,26,Montpellier HSC,Defensa
110,"
Alexsandro ",€5.00m ,24,LOSC Lille,Defensa
111,"
Tiago Santos ",€5.00m ,21,LOSC Lille,Defensa
112,"
Gerzino Nyamsi ",€5.00m ,26,RC Strasbourg Alsace,Defensa
113,"
Bradley Locko ",€5.00m ,21,Stade Brestois 29,Defensa
114,"
Becir Omeragic ",€5.00m ,21,Montpellier HSC,Defensa
115,"
Gédéon Kalulu ",€5.00m ,26,FC Lorient,Defensa
