,Player,value,age,club,position
0,"
Gregor Kobel ",€35.00m ,25,Borussia Dortmund,Portero
1,"
Jonas Omlin ",€9.00m ,29,Borussia Mönchengladbach,Portero
2,"
Kevin Trapp ",€8.50m ,33,Eintracht Frankfurt,Portero
3,"
Koen Casteels ",€8.00m ,31,VfL Wolfsburg,Portero
4,"
Alexander Nübel ",€8.00m ,27,VfB Stuttgart,Portero
5,"
Marvin Schwäbe ",€7.00m ,28,1.FC Köln,Portero
6,"
Frederik Rönnow ",€5.50m ,31,1.FC Union Berlin,Portero
7,"
Manuel Neuer ",€5.00m ,37,Bayern Munich,Portero
8,"
Matej Kovar ",€5.00m ,23,Bayer 04 Leverkusen,Portero
9,"
Daniel Peretz ",€5.00m ,23,Bayern Munich,Portero
10,"
Noah Atubolu ",€5.00m ,21,SC Freiburg,Portero
11,"
Robin Zentner ",€5.00m ,29,1.FSV Mainz 05,Portero
12,"
Janis Blaswich ",€4.00m ,32,RB Leipzig,Portero
13,"
Oliver Baumann ",€4.00m ,33,TSG 1899 Hoffenheim,Portero
14,"
Péter Gulácsi ",€3.50m ,33,RB Leipzig,Portero
15,"
Finn Dahmen ",€3.50m ,25,FC Augsburg,Portero
16,"
Jiri Pavlenka ",€3.00m ,31,SV Werder Bremen,Portero
17,"
Lukas Hradecky ",€2.50m ,33,Bayer 04 Leverkusen,Portero
18,"
Marcel Lotka ",€1.50m ,22,Borussia Dortmund,Portero
19,"
Fabian Bredlow ",€1.50m ,28,VfB Stuttgart,Portero
20,"
Marcel Schuhen ",€1.50m ,30,SV Darmstadt 98,Portero
21,"
Florian Müller ",€1.50m ,25,SC Freiburg,Portero
22,"
Kauã Santos ",€1.50m ,20,Eintracht Frankfurt,Portero
23,"
Manuel Riemann ",€1.00m ,35,VfL Bochum,Portero
24,"
Alexander Meyer ",€1.00m ,32,Borussia Dortmund,Portero
25,"
Tomas Koubek ",€1.00m ,31,FC Augsburg,Portero
26,"
Alexander Schwolow ",€900k ,31,1.FC Union Berlin,Portero
27,"
Moritz Nicolas ",€800k ,26,Borussia Mönchengladbach,Portero
28,"
Jan Olschowsky ",€800k ,21,Borussia Mönchengladbach,Portero
29,"
Kevin Müller ",€800k ,32,1.FC Heidenheim 1846,Portero
30,"
Sven Ulreich ",€700k ,35,Bayern Munich,Portero
31,"
Benjamin Uphoff ",€500k ,30,SC Freiburg,Portero
32,"
Michael Zetterer ",€500k ,28,SV Werder Bremen,Portero
33,"
Pavao Pervan ",€400k ,35,VfL Wolfsburg,Portero
34,"
Tobias Sippel ",€400k ,35,Borussia Mönchengladbach,Portero
35,"
Leopold Zingerle ",€400k ,29,RB Leipzig,Portero
36,"
Niclas Thiede ",€350k ,24,VfL Bochum,Portero
37,"
Daniel Batz ",€350k ,32,1.FSV Mainz 05,Portero
38,"
Michael Esser ",€300k ,35,VfL Bochum,Portero
39,"
Luca Philipp ",€300k ,22,TSG 1899 Hoffenheim,Portero
40,"
Philipp Pentke ",€300k ,38,1.FC Köln,Portero
41,"
Vitus Eicher ",€250k ,33,1.FC Heidenheim 1846,Portero
42,"
Niklas Lomb ",€250k ,30,Bayer 04 Leverkusen,Portero
43,"
Marcel Lubik ",€250k ,19,FC Augsburg,Portero
44,"
Jakob Busk ",€250k ,30,1.FC Union Berlin,Portero
45,"
Tom Hülsmann ",€250k ,19,Bayern Munich,Portero
46,"
Morten Behrens ",€250k ,26,SV Darmstadt 98,Portero
47,"
Nahuel Noll ",€250k ,20,TSG 1899 Hoffenheim,Portero
48,"
Dudu ",€200k ,24,SV Werder Bremen,Portero
49,"
Jonas Nickisch ",€200k ,19,1.FC Köln,Portero
50,"
Alphonso Davies ",€70.00m ,23,Bayern Munich,Defensa
51,"
Matthijs de Ligt ",€70.00m ,24,Bayern Munich,Defensa
52,"
Dayot Upamecano ",€60.00m ,25,Bayern Munich,Defensa
53,"
Min-jae Kim ",€60.00m ,26,Bayern Munich,Defensa
54,"
Jeremie Frimpong ",€45.00m ,22,Bayer 04 Leverkusen,Defensa
55,"
Edmond Tapsoba ",€40.00m ,24,Bayer 04 Leverkusen,Defensa
56,"
Nico Schlotterbeck ",€40.00m ,23,Borussia Dortmund,Defensa
57,"
Castello Lukeba ",€35.00m ,20,RB Leipzig,Defensa
58,"
Mohamed Simakan ",€35.00m ,23,RB Leipzig,Defensa
59,"
Piero Hincapié ",€35.00m ,21,Bayer 04 Leverkusen,Defensa
60,"
Niklas Süle ",€30.00m ,28,Borussia Dortmund,Defensa
61,"
Noussair Mazraoui ",€28.00m ,25,Bayern Munich,Defensa
62,"
Odilon Kossounou ",€28.00m ,22,Bayer 04 Leverkusen,Defensa
63,"
Alejandro Grimaldo ",€25.00m ,28,Bayer 04 Leverkusen,Defensa
64,"
Jonathan Tah ",€20.00m ,27,Bayer 04 Leverkusen,Defensa
65,"
Philipp Lienhart ",€20.00m ,27,SC Freiburg,Defensa
66,"
Ramy Bensebaini ",€20.00m ,28,Borussia Dortmund,Defensa
67,"
Benjamin Henrichs ",€20.00m ,26,RB Leipzig,Defensa
68,"
Robin Koch ",€18.00m ,27,Eintracht Frankfurt,Defensa
69,"
Matthias Ginter ",€18.00m ,29,SC Freiburg,Defensa
70,"
Hiroki Ito ",€17.00m ,24,VfB Stuttgart,Defensa
71,"
Maxence Lacroix ",€17.00m ,23,VfL Wolfsburg,Defensa
72,"
Danilho Doekhi ",€17.00m ,25,1.FC Union Berlin,Defensa
73,"
Willian Pacho ",€17.00m ,22,Eintracht Frankfurt,Defensa
74,"
Diogo Leite ",€15.00m ,24,1.FC Union Berlin,Defensa
75,"
Kiliann Sildillia ",€15.00m ,21,SC Freiburg,Defensa
77,"
El Chadaille Bitshiabu ",€15.00m ,18,RB Leipzig,Defensa
78,"
Tuta ",€15.00m ,24,Eintracht Frankfurt,Defensa
79,"
Ko Itakura ",€15.00m ,26,Borussia Mönchengladbach,Defensa
80,"
Raphaël Guerreiro ",€15.00m ,29,Bayern Munich,Defensa
81,"
Nico Elvedi ",€14.00m ,27,Borussia Mönchengladbach,Defensa
82,"
David Raum ",€14.00m ,25,RB Leipzig,Defensa
83,"
Joakim Maehle ",€14.00m ,26,VfL Wolfsburg,Defensa
84,"
Maximilian Wöber ",€14.00m ,25,Borussia Mönchengladbach,Defensa
85,"
Attila Szalai ",€14.00m ,25,TSG 1899 Hoffenheim,Defensa
86,"
Ridle Baku ",€13.00m ,25,VfL Wolfsburg,Defensa
87,"
Ozan Kabak ",€13.00m ,23,TSG 1899 Hoffenheim,Defensa
88,"
Joe Scally ",€12.00m ,20,Borussia Mönchengladbach,Defensa
89,"
Josip Stanisic ",€12.00m ,23,Bayer 04 Leverkusen,Defensa
90,"
Josip Juranovic ",€12.00m ,28,1.FC Union Berlin,Defensa
91,"
Anthony Rouault ",€10.00m ,22,VfB Stuttgart,Defensa
92,"
Willi Orbán ",€10.00m ,31,RB Leipzig,Defensa
93,"
Timo Hübers ",€8.50m ,27,1.FC Köln,Defensa
94,"
Josha Vagnoman ",€8.00m ,22,VfB Stuttgart,Defensa
95,"
Lukas Klostermann ",€8.00m ,27,RB Leipzig,Defensa
96,"
Aurélio Buta ",€8.00m ,26,Eintracht Frankfurt,Defensa
97,"
Marius Wolf ",€8.00m ,28,Borussia Dortmund,Defensa
98,"
Erhan Masovic ",€8.00m ,24,VfL Bochum,Defensa
99,"
Niels Nkounkou ",€7.50m ,23,Eintracht Frankfurt,Defensa
100,"
Moritz Jenz ",€7.50m ,24,VfL Wolfsburg,Defensa
101,"
Jeff Chabot ",€7.50m ,25,1.FC Köln,Defensa
102,"
Andreas Hanche-Olsen ",€7.50m ,26,1.FSV Mainz 05,Defensa
103,"
Christian Günter ",€7.50m ,30,SC Freiburg,Defensa
104,"
Cédric Zesiger ",€7.50m ,25,VfL Wolfsburg,Defensa
105,"
Rogério ",€7.50m ,25,VfL Wolfsburg,Defensa
106,"
Waldemar Anton ",€7.00m ,27,VfB Stuttgart,Defensa
107,"
Sebastiaan Bornauw ",€7.00m ,24,VfL Wolfsburg,Defensa
108,"
Felix Uduokhai ",€7.00m ,26,FC Augsburg,Defensa
109,"
Anthony Caci ",€7.00m ,26,1.FSV Mainz 05,Defensa
110,"
Luca Netz ",€6.50m ,20,Borussia Mönchengladbach,Defensa
111,"
Mitchell Weiser ",€6.00m ,29,SV Werder Bremen,Defensa
112,"
Mats Hummels ",€6.00m ,34,Borussia Dortmund,Defensa
113,"
Amos Pieper ",€6.00m ,25,SV Werder Bremen,Defensa
114,"
Edimilson Fernandes ",€5.50m ,27,1.FSV Mainz 05,Defensa
115,"
Marco Friedl ",€5.50m ,25,SV Werder Bremen,Defensa
116,"
Niklas Stark ",€5.50m ,28,SV Werder Bremen,Defensa
117,"
Dan-Axel Zagadou ",€5.50m ,24,VfB Stuttgart,Defensa
118,"
Iago ",€5.50m ,26,FC Augsburg,Defensa
119,"
Arthur ",€5.00m ,20,Bayer 04 Leverkusen,Defensa
120,"
Japhet Tanganga ",€5.00m ,24,FC Augsburg,Defensa
121,"
Robin Knoche ",€5.00m ,31,1.FC Union Berlin,Defensa
122,"
Paul Jaeckel ",€5.00m ,25,1.FC Union Berlin,Defensa
123,"
Sepp van den Berg ",€5.00m ,21,1.FSV Mainz 05,Defensa
124,"
Milos Veljkovic ",€4.50m ,28,SV Werder Bremen,Defensa
125,"
Marvin Friedrich ",€4.00m ,27,Borussia Mönchengladbach,Defensa
126,"
Reece Oxford ",€4.00m ,24,FC Augsburg,Defensa
127,"
Hrvoje Smolcic ",€4.00m ,23,Eintracht Frankfurt,Defensa
128,"
Maximilian Bauer ",€3.50m ,23,FC Augsburg,Defensa
129,"
Mads Pedersen ",€3.50m ,27,FC Augsburg,Defensa
130,"
Kevin Akpoguma ",€3.50m ,28,TSG 1899 Hoffenheim,Defensa
131,"
Silvan Widmer ",€3.50m ,30,1.FSV Mainz 05,Defensa
132,"
Robert Gumny ",€3.50m ,25,FC Augsburg,Defensa
133,"
Nicolas Cozza ",€3.50m ,24,VfL Wolfsburg,Defensa
134,"
Kevin Mbabu ",€3.50m ,28,FC Augsburg,Defensa
135,"
Keven Schlotterbeck ",€3.00m ,26,VfL Bochum,Defensa
136,"
Stanley Nsoki ",€3.00m ,24,TSG 1899 Hoffenheim,Defensa
137,"
Jérôme Roussillon ",€3.00m ,30,1.FC Union Berlin,Defensa
138,"
Thomas Meunier ",€3.00m ,32,Borussia Dortmund,Defensa
139,"
Patric Pfeiffer ",€3.00m ,24,FC Augsburg,Defensa
140,"
Pavel Kaderabek ",€3.00m ,31,TSG 1899 Hoffenheim,Defensa
141,"
Christoph Klarer ",€3.00m ,23,SV Darmstadt 98,Defensa
142,"
Ivan Ordets ",€3.00m ,31,VfL Bochum,Defensa
