,Player,value,age,club,position
0,"
Mike Maignan ",€45.00m ,28,AC Milan,Portero
1,"
Alex Meret ",€18.00m ,26,SSC Napoli,Portero
2,"
Marco Carnesecchi ",€13.00m ,23,Atalanta BC,Portero
3,"
Ivan Provedel ",€12.00m ,29,SS Lazio,Portero
4,"
Wojciech Szczesny ",€10.00m ,33,Juventus FC,Portero
5,"
Juan Musso ",€8.00m ,29,Atalanta BC,Portero
6,"
Michele Di Gregorio ",€8.00m ,26,AC Monza,Portero
7,"
Vanja Milinković-Savić ",€6.00m ,26,Torino FC,Portero
8,"
Elia Caprile ",€6.00m ,22,FC Empoli,Portero
9,"
Emil Audero ",€6.00m ,26,Inter Milan,Portero
10,"
Wladimiro Falcone ",€5.00m ,28,US Lecce,Portero
11,"
Marco Silvestri ",€5.00m ,32,Udinese Calcio,Portero
12,"
Yann Sommer ",€5.00m ,34,Inter Milan,Portero
13,"
Rui Patrício ",€5.00m ,35,AS Roma,Portero
14,"
Pierluigi Gollini ",€4.50m ,28,SSC Napoli,Portero
15,"
Stefano Turati ",€4.50m ,22,Frosinone Calcio,Portero
16,"
Oliver Christensen ",€4.00m ,24,ACF Fiorentina,Portero
17,"
Lorenzo Montipò ",€4.00m ,27,Hellas Verona,Portero
18,"
Mattia Perin ",€4.00m ,30,Juventus FC,Portero
19,"
Josep Martínez ",€3.50m ,25,Genoa CFC,Portero
20,"
Lukasz Skorupski ",€3.50m ,32,Bologna FC 1909,Portero
21,"
Alessio Cragno ",€3.00m ,29,US Sassuolo,Portero
22,"
Maduka Okoye ",€2.00m ,24,Udinese Calcio,Portero
23,"
Simone Scuffet ",€2.00m ,27,Cagliari Calcio,Portero
24,"
Pietro Terracciano ",€2.00m ,33,ACF Fiorentina,Portero
25,"
Guillermo Ochoa ",€1.50m ,38,US Salernitana 1919,Portero
26,"
Boris Radunović ",€1.50m ,27,Cagliari Calcio,Portero
27,"
Mile Svilar ",€1.50m ,24,AS Roma,Portero
28,"
Marco Sportiello ",€1.50m ,31,AC Milan,Portero
29,"
Benoît Costil ",€1.00m ,36,US Salernitana 1919,Portero
30,"
Andrea Consigli ",€1.00m ,36,US Sassuolo,Portero
31,"
Luigi Sepe ",€1.00m ,32,SS Lazio,Portero
32,"
Christos Mandas ",€1.00m ,22,SS Lazio,Portero
33,"
Mihai Popa ",€1.00m ,23,Torino FC,Portero
34,"
Stefano Gori ",€900k ,27,AC Monza,Portero
35,"
Nicola Leali ",€900k ,30,Genoa CFC,Portero
36,"
Samuele Perisan ",€800k ,26,FC Empoli,Portero
37,"
Michele Cerofolini ",€500k ,24,Frosinone Calcio,Portero
38,"
Nikita Contini ",€500k ,27,SSC Napoli,Portero
39,"
Alessandro Sorrentino ",€500k ,21,AC Monza,Portero
40,"
Federico Ravaglia ",€450k ,23,Bologna FC 1909,Portero
41,"
Etrit Berisha ",€400k ,34,FC Empoli,Portero
42,"
Raffaele Di Gennaro ",€350k ,30,Inter Milan,Portero
43,"
Luca Gemello ",€300k ,23,Torino FC,Portero
44,"
Michele Avella ",€250k ,23,Frosinone Calcio,Portero
45,"
Lovro Stubljar ",€200k ,19,FC Empoli,Portero
46,"
Carlo Pinsoglio ",€200k ,33,Juventus FC,Portero
47,"
Nicola Bagnolini ",€200k ,19,Bologna FC 1909,Portero
48,"
Simone Perilli ",€200k ,28,Hellas Verona,Portero
49,"
Vincenzo Fiorillo ",€200k ,33,US Salernitana 1919,Portero
50,"
Theo Hernández ",€60.00m ,26,AC Milan,Defensa
51,"
Alessandro Bastoni ",€60.00m ,24,Inter Milan,Defensa
52,"
Federico Dimarco ",€45.00m ,25,Inter Milan,Defensa
53,"
Benjamin Pavard ",€40.00m ,27,Inter Milan,Defensa
54,"
Giorgio Scalvini ",€40.00m ,19,Atalanta BC,Defensa
55,"
Bremer ",€40.00m ,26,Juventus FC,Defensa
56,"
Fikayo Tomori ",€40.00m ,25,AC Milan,Defensa
57,"
Malick Thiaw ",€30.00m ,22,AC Milan,Defensa
58,"
Evan Ndicka ",€28.00m ,24,AS Roma,Defensa
59,"
Giovanni Di Lorenzo ",€25.00m ,30,SSC Napoli,Defensa
60,"
Amir Rrahmani ",€25.00m ,29,SSC Napoli,Defensa
61,"
Pierre Kalulu ",€25.00m ,23,AC Milan,Defensa
62,"
Perr Schuurs ",€25.00m ,23,Torino FC,Defensa
63,"
Nicolò Casale ",€22.00m ,25,SS Lazio,Defensa
64,"
Alessandro Buongiorno ",€20.00m ,24,Torino FC,Defensa
65,"
Davide Calabria ",€20.00m ,26,AC Milan,Defensa
66,"
Dodô ",€20.00m ,24,ACF Fiorentina,Defensa
67,"
Alessio Romagnoli ",€18.00m ,28,SS Lazio,Defensa
68,"
Gianluca Mancini ",€18.00m ,27,AS Roma,Defensa
69,"
Mathías Olivera ",€18.00m ,26,SSC Napoli,Defensa
70,"
Nikola Milenković ",€18.00m ,26,ACF Fiorentina,Defensa
71,"
Danilo ",€15.00m ,32,Juventus FC,Defensa
72,"
Stefan Posch ",€14.00m ,26,Bologna FC 1909,Defensa
73,"
Rasmus Kristensen ",€13.00m ,26,AS Roma,Defensa
74,"
Victor Kristiansen ",€12.00m ,20,Bologna FC 1909,Defensa
75,"
Jhon Lucumí ",€12.00m ,25,Bologna FC 1909,Defensa
76,"
Federico Gatti ",€12.00m ,25,Juventus FC,Defensa
77,"
Jaka Bijol ",€10.00m ,24,Udinese Calcio,Defensa
78,"
Berat Djimsiti ",€10.00m ,30,Atalanta BC,Defensa
79,"
Yerry Mina ",€10.00m ,29,ACF Fiorentina,Defensa
80,"
Leo Østigård ",€10.00m ,23,SSC Napoli,Defensa
81,"
Nehuén Pérez ",€10.00m ,23,Udinese Calcio,Defensa
82,"
Fabiano Parisi ",€10.00m ,23,ACF Fiorentina,Defensa
83,"
Radu Drăgușin ",€10.00m ,21,Genoa CFC,Defensa
84,"
Andrea Cambiaso ",€10.00m ,23,Juventus FC,Defensa
85,"
Lucas Martínez Quarta ",€10.00m ,27,ACF Fiorentina,Defensa
86,"
Leonardo Spinazzola ",€10.00m ,30,AS Roma,Defensa
87,"
Natan ",€10.00m ,22,SSC Napoli,Defensa
88,"
Sam Beukema ",€10.00m ,24,Bologna FC 1909,Defensa
89,"
Isak Hien ",€9.00m ,24,Hellas Verona,Defensa
90,"
Diego Llorente ",€8.00m ,30,AS Roma,Defensa
91,"
Lorenzo Pirola ",€8.00m ,21,US Salernitana 1919,Defensa
92,"
Zeki Çelik ",€8.00m ,26,AS Roma,Defensa
93,"
Flavius Daniliuc ",€8.00m ,22,US Salernitana 1919,Defensa
94,"
Stefan de Vrij ",€8.00m ,31,Inter Milan,Defensa
95,"
Josh Doig ",€8.00m ,21,Hellas Verona,Defensa
96,"
Adam Marusic ",€8.00m ,31,SS Lazio,Defensa
97,"
Chris Smalling ",€8.00m ,33,AS Roma,Defensa
98,"
Matías Viña ",€8.00m ,26,US Sassuolo,Defensa
99,"
Caleb Okoli ",€8.00m ,22,Frosinone Calcio,Defensa
100,"
Mário Rui ",€8.00m ,32,SSC Napoli,Defensa
101,"
Hassane Kamara ",€8.00m ,29,Udinese Calcio,Defensa
102,"
Marash Kumbulla ",€8.00m ,23,AS Roma,Defensa
103,"
Federico Baschirotto ",€8.00m ,27,US Lecce,Defensa
104,"
Sead Kolasinac ",€8.00m ,30,Atalanta BC,Defensa
105,"
Marcus Pedersen ",€7.00m ,23,US Sassuolo,Defensa
106,"
Yann Bisseck ",€7.00m ,22,Inter Milan,Defensa
107,"
Domagoj Bradaric ",€7.00m ,23,US Salernitana 1919,Defensa
108,"
Mattia Viti ",€7.00m ,21,US Sassuolo,Defensa
109,"
Rick Karsdorp ",€7.00m ,28,AS Roma,Defensa
110,"
Aarón Martín ",€7.00m ,26,Genoa CFC,Defensa
111,"
Jordan Zemura ",€6.00m ,23,Udinese Calcio,Defensa
112,"
Alessandro Zanoli ",€6.00m ,23,SSC Napoli,Defensa
113,"
Rafael Tolói ",€6.00m ,33,Atalanta BC,Defensa
114,"
Matteo Lovato ",€6.00m ,23,US Salernitana 1919,Defensa
115,"
Patric ",€5.00m ,30,SS Lazio,Defensa
116,"
Riccardo Calafiori ",€5.00m ,21,Bologna FC 1909,Defensa
117,"
David Zima ",€5.00m ,23,Torino FC,Defensa
118,"
Cristiano Biraghi ",€5.00m ,31,ACF Fiorentina,Defensa
119,"
Pablo Marí ",€5.00m ,30,AC Monza,Defensa
120,"
Elseid Hysaj ",€5.00m ,29,SS Lazio,Defensa
121,"
Martin Erlic ",€5.00m ,25,US Sassuolo,Defensa
122,"
Michael Kayode ",€5.00m ,19,ACF Fiorentina,Defensa
123,"
Pasquale Mazzocchi ",€4.50m ,28,US Salernitana 1919,Defensa
