,Player,value,age,club,position
0,"
Justin Bijlow ",€15.00m ,25,Feyenoord Rotterdam,Portero
1,"
Walter Benítez ",€12.00m ,30,PSV Eindhoven,Portero
2,"
Gerónimo Rulli ",€10.00m ,31,Ajax Amsterdam,Portero
3,"
Mathew Ryan ",€4.00m ,31,AZ Alkmaar,Portero
4,"
Nick Olij ",€4.00m ,28,Sparta Rotterdam,Portero
5,"
Lars Unnerstall ",€3.20m ,33,Twente Enschede FC,Portero
6,"
Andries Noppert ",€3.00m ,29,SC Heerenveen,Portero
7,"
Timon Wellenreuther ",€3.00m ,27,Feyenoord Rotterdam,Portero
8,"
Jasper Cillessen ",€2.50m ,34,NEC Nijmegen,Portero
9,"
Joël Drommel ",€2.50m ,26,PSV Eindhoven,Portero
10,"
Ivor Pandur ",€2.00m ,23,Fortuna Sittard,Portero
11,"
Jay Gorter ",€2.00m ,23,Ajax Amsterdam,Portero
12,"
Vasilios Barkas ",€2.00m ,29,FC Utrecht,Portero
13,"
Diant Ramaj ",€1.00m ,22,Ajax Amsterdam,Portero
14,"
Etienne Vaessen ",€1.00m ,28,RKC Waalwijk,Portero
15,"
Stijn van Gassel ",€900k ,27,Excelsior Rotterdam,Portero
16,"
Jeffrey de Lange ",€750k ,25,Go Ahead Eagles,Portero
17,"
Fabian de Keijzer ",€700k ,23,Heracles Almelo,Portero
18,"
Mattijs Branderhorst ",€700k ,29,FC Utrecht,Portero
19,"
Mio Backhaus ",€700k ,19,FC Volendam,Portero
20,"
Jasper Schendelaar ",€700k ,23,PEC Zwolle,Portero
21,"
Nordin Bakker ",€650k ,26,Almere City FC,Portero
22,"
Eloy Room ",€600k ,34,Vitesse Arnhem,Portero
23,"
Samuel Sahin-Radlinger ",€600k ,31,Almere City FC,Portero
24,"
Mickey van der Hart ",€600k ,29,SC Heerenveen,Portero
26,"
Michael Brouwer ",€550k ,30,Heracles Almelo,Portero
27,"
Sem Westerveld ",€500k ,21,AZ Alkmaar,Portero
28,"
Kjell Peersman ",€400k ,19,PSV Eindhoven,Portero
29,"
Markus Schubert ",€400k ,25,Vitesse Arnhem,Portero
30,"
Robin Roefs ",€400k ,20,NEC Nijmegen,Portero
31,"
Rome Jayden Owusu-Oduro ",€400k ,19,AZ Alkmaar,Portero
32,"
Mikki van Sas ",€400k ,19,Feyenoord Rotterdam,Portero
33,"
Kostas Lamprou ",€350k ,32,Feyenoord Rotterdam,Portero
34,"
Norbert Alblas ",€250k ,28,Excelsior Rotterdam,Portero
35,"
Remko Pasveer ",€250k ,40,Ajax Amsterdam,Portero
36,"
Jeroen Houwen ",€250k ,27,RKC Waalwijk,Portero
37,"
Erwin Mulder ",€250k ,34,Go Ahead Eagles,Portero
38,"
Luuk Koopmans ",€225k ,29,Fortuna Sittard,Portero
39,"
Calvin Raatsie ",€200k ,21,FC Utrecht,Portero
40,"
Delano van Crooij ",€200k ,32,Sparta Rotterdam,Portero
41,"
Kenneth Vermeer ",€175k ,37,PEC Zwolle,Portero
42,"
Barry Lauwers ",€175k ,23,FC Volendam,Portero
43,"
Youri Schoonderwaldt ",€150k ,23,Sparta Rotterdam,Portero
44,"
Przemyslaw Tyton ",€150k ,36,Twente Enschede FC,Portero
45,"
Pascal Kuiper ",€125k ,19,Excelsior Rotterdam,Portero
46,"
Daniël Virginio Deen ",€125k ,20,AZ Alkmaar,Portero
47,"
Mark Spenkelink ",€100k ,26,RKC Waalwijk,Portero
48,"
Mike Hauptmeijer ",€75k ,26,PEC Zwolle,Portero
49,"
Boy Waterman ",€75k ,39,PSV Eindhoven,Portero
50,"
Lutsharel Geertruida ",€35.00m ,23,Feyenoord Rotterdam,Defensa
51,"
David Hancko ",€30.00m ,25,Feyenoord Rotterdam,Defensa
52,"
Quilindschy Hartman ",€20.00m ,21,Feyenoord Rotterdam,Defensa
53,"
Armel Bella-Kotchap ",€20.00m ,21,PSV Eindhoven,Defensa
54,"
Josip Sutalo ",€18.00m ,23,Ajax Amsterdam,Defensa
55,"
Sergiño Dest ",€13.00m ,23,PSV Eindhoven,Defensa
56,"
Borna Sosa ",€12.00m ,25,Ajax Amsterdam,Defensa
57,"
Jorrel Hato ",€10.00m ,17,Ajax Amsterdam,Defensa
58,"
Olivier Boscagli ",€10.00m ,25,PSV Eindhoven,Defensa
59,"
Yukinari Sugawara ",€10.00m ,23,AZ Alkmaar,Defensa
60,"
Jordan Teze ",€9.00m ,24,PSV Eindhoven,Defensa
61,"
Devyne Rensch ",€8.00m ,20,Ajax Amsterdam,Defensa
62,"
Gastón Ávila ",€6.00m ,22,Ajax Amsterdam,Defensa
63,"
Gijs Smal ",€6.00m ,26,Twente Enschede FC,Defensa
64,"
Gernot Trauner ",€5.00m ,31,Feyenoord Rotterdam,Defensa
65,"
Mauro Júnior ",€5.00m ,24,PSV Eindhoven,Defensa
66,"
Ahmetcan Kaplan ",€5.00m ,20,Ajax Amsterdam,Defensa
67,"
Mees Hilgers ",€4.50m ,22,Twente Enschede FC,Defensa
68,"
Armando Obispo ",€4.50m ,24,PSV Eindhoven,Defensa
69,"
Hugo Novoa ",€4.30m ,20,FC Utrecht,Defensa
70,"
Alexandre Penetra ",€4.00m ,22,AZ Alkmaar,Defensa
71,"
Joshua Brenet ",€4.00m ,29,Twente Enschede FC,Defensa
72,"
David Møller Wolfe ",€4.00m ,21,AZ Alkmaar,Defensa
73,"
Marcos López ",€4.00m ,23,Feyenoord Rotterdam,Defensa
74,"
Pawel Bochniewicz ",€3.00m ,27,SC Heerenveen,Defensa
75,"
Patrick van Aanholt ",€3.00m ,33,PSV Eindhoven,Defensa
76,"
Shurandy Sambo ",€3.00m ,22,PSV Eindhoven,Defensa
77,"
André Ramalho ",€3.00m ,31,PSV Eindhoven,Defensa
78,"
Thomas Beelen ",€3.00m ,22,Feyenoord Rotterdam,Defensa
79,"
Bart Nieuwkoop ",€3.00m ,27,Feyenoord Rotterdam,Defensa
80,"
Robin Pröpper ",€2.50m ,30,Twente Enschede FC,Defensa
81,"
Modibo Sagnan ",€2.50m ,24,FC Utrecht,Defensa
82,"
Alfons Sampsted ",€2.50m ,25,Twente Enschede FC,Defensa
83,"
Ryan Flamingo ",€2.50m ,20,FC Utrecht,Defensa
84,"
Loïc Mbe Soh ",€2.00m ,22,Almere City FC,Defensa
85,"
Rodrigo Guth ",€2.00m ,22,Fortuna Sittard,Defensa
86,"
Xavier Mbuyamba ",€2.00m ,21,FC Volendam,Defensa
87,"
Jakov Medic ",€2.00m ,25,Ajax Amsterdam,Defensa
88,"
Wouter Goes ",€2.00m ,19,AZ Alkmaar,Defensa
89,"
Bruno Martins Indi ",€2.00m ,31,AZ Alkmaar,Defensa
90,"
Anton Gaaei ",€2.00m ,20,Ajax Amsterdam,Defensa
91,"
Philippe Sandler ",€1.80m ,26,NEC Nijmegen,Defensa
92,"
Denso Kasius ",€1.70m ,21,AZ Alkmaar,Defensa
93,"
Mathias Ross ",€1.50m ,22,NEC Nijmegen,Defensa
94,"
Mats Köhlert ",€1.50m ,25,SC Heerenveen,Defensa
95,"
Maxim Dekker ",€1.50m ,19,AZ Alkmaar,Defensa
96,"
Carlens Arcus ",€1.50m ,27,Vitesse Arnhem,Defensa
97,"
Mees de Wit ",€1.50m ,25,AZ Alkmaar,Defensa
98,"
Lennart Czyborra ",€1.40m ,24,PEC Zwolle,Defensa
99,"
Souffian El Karouani ",€1.40m ,23,FC Utrecht,Defensa
100,"
Hidde ter Avest ",€1.30m ,26,FC Utrecht,Defensa
101,"
Justin Hoogma ",€1.20m ,25,Heracles Almelo,Defensa
102,"
Mike van der Hoorn ",€1.00m ,31,FC Utrecht,Defensa
103,"
Sven van Beek ",€1.00m ,29,SC Heerenveen,Defensa
104,"
Mitchell Dijks ",€1.00m ,30,Fortuna Sittard,Defensa
105,"
Ramon Hendriks ",€1.00m ,22,Vitesse Arnhem,Defensa
106,"
Alec Van Hoorenbeeck ",€900k ,24,Twente Enschede FC,Defensa
107,"
Django Warmerdam ",€900k ,28,Sparta Rotterdam,Defensa
108,"
Siebe Horemans ",€900k ,25,Excelsior Rotterdam,Defensa
