,Player,value,age,club,position
0,"
Thibaut Courtois ",€45.00m ,31,Real Madrid,Portero
1,"
Marc-André ter Stegen ",€35.00m ,31,FC Barcelona,Portero
2,"
Jan Oblak ",€35.00m ,30,Atlético de Madrid,Portero
3,"
Giorgi Mamardashvili ",€30.00m ,23,Valencia CF,Portero
4,"
Álex Remiro ",€25.00m ,28,Real Sociedad,Portero
5,"
Unai Simón ",€25.00m ,26,Athletic Bilbao,Portero
6,"
Kepa Arrizabalaga ",€18.00m ,29,Real Madrid,Portero
7,"
Rui Silva ",€15.00m ,29,Real Betis Balompié,Portero
8,"
Predrag Rajkovic ",€10.00m ,28,RCD Mallorca,Portero
9,"
Conan Ledesma ",€8.00m ,30,Cádiz CF,Portero
10,"
David Soria ",€8.00m ,30,Getafe CF,Portero
11,"
Sergio Herrera ",€6.00m ,30,CA Osasuna,Portero
12,"
Luís Maximiano ",€6.00m ,24,UD Almería,Portero
13,"
Filip Jörgensen ",€5.00m ,21,Villarreal CF,Portero
14,"
Andriy Lunin ",€5.00m ,24,Real Madrid,Portero
15,"
Julen Agirrezabala ",€5.00m ,22,Athletic Bilbao,Portero
16,"
Iñaki Peña ",€4.00m ,24,FC Barcelona,Portero
17,"
Álvaro Valles ",€4.00m ,26,UD Las Palmas,Portero
18,"
Stole Dimitrievski ",€4.00m ,29,Rayo Vallecano,Portero
19,"
Ivo Grbic ",€3.50m ,27,Atlético de Madrid,Portero
20,"
Aitor Fernández ",€3.00m ,32,CA Osasuna,Portero
21,"
Paulo Gazzaniga ",€3.00m ,31,Girona FC,Portero
22,"
Iván Villar ",€2.00m ,26,Celta de Vigo,Portero
23,"
Marko Dmitrović ",€2.00m ,31,Sevilla FC,Portero
24,"
Dani Cárdenas ",€2.00m ,26,Rayo Vallecano,Portero
25,"
Dominik Greif ",€1.50m ,26,RCD Mallorca,Portero
26,"
Fernando Martínez ",€1.50m ,33,UD Almería,Portero
27,"
Agustín Marchesín ",€1.50m ,35,Celta de Vigo,Portero
28,"
Antonio Sivera ",€1.20m ,27,Deportivo Alavés,Portero
29,"
Claudio Bravo ",€1.00m ,40,Real Betis Balompié,Portero
30,"
Aarón Escandell ",€1.00m ,28,UD Las Palmas,Portero
31,"
Ørjan Nyland ",€1.00m ,33,Sevilla FC,Portero
32,"
Daniel Fuzato ",€1.00m ,26,Getafe CF,Portero
33,"
Jaume Doménech ",€1.00m ,33,Valencia CF,Portero
34,"
Vicente Guaita ",€1.00m ,36,Celta de Vigo,Portero
35,"
André Ferreira ",€800k ,27,Granada CF,Portero
36,"
David Gil ",€700k ,29,Cádiz CF,Portero
37,"
Pepe Reina ",€700k ,41,Villarreal CF,Portero
38,"
Ander Astralaga ",€500k ,19,FC Barcelona,Portero
39,"
Raúl Fernández ",€300k ,35,Granada CF,Portero
40,"
Diego Mariño ",€300k ,33,UD Almería,Portero
41,"
Unai Marrero ",€300k ,22,Real Sociedad,Portero
42,"
Juan Carlos ",€300k ,35,Girona FC,Portero
43,"
Toni Fuidias ",€300k ,22,Girona FC,Portero
44,"
Cristian Rivero ",€200k ,25,Valencia CF,Portero
45,"
Jesús Owono ",€200k ,22,Deportivo Alavés,Portero
46,"
Iván Cuéllar ",€100k ,39,RCD Mallorca,Portero
47,"
Ronald Araújo ",€70.00m ,24,FC Barcelona,Defensa
48,"
Éder Militão ",€70.00m ,25,Real Madrid,Defensa
49,"
Jules Koundé ",€60.00m ,24,FC Barcelona,Defensa
50,"
João Cancelo ",€50.00m ,29,FC Barcelona,Defensa
51,"
Nahuel Molina ",€50.00m ,25,Atlético de Madrid,Defensa
52,"
Alejandro Balde ",€50.00m ,20,FC Barcelona,Defensa
53,"
Andreas Christensen ",€40.00m ,27,FC Barcelona,Defensa
54,"
David Alaba ",€40.00m ,31,Real Madrid,Defensa
55,"
Robin Le Normand ",€35.00m ,26,Real Sociedad,Defensa
56,"
José María Giménez ",€35.00m ,28,Atlético de Madrid,Defensa
57,"
Antonio Rüdiger ",€32.00m ,30,Real Madrid,Defensa
58,"
José Gayà ",€30.00m ,28,Valencia CF,Defensa
59,"
Kieran Tierney ",€25.00m ,26,Real Sociedad,Defensa
60,"
Juan Foyth ",€25.00m ,25,Villarreal CF,Defensa
61,"
Mario Hermoso ",€20.00m ,28,Atlético de Madrid,Defensa
62,"
Ferland Mendy ",€20.00m ,28,Real Madrid,Defensa
63,"
Reinildo Mandava ",€20.00m ,29,Atlético de Madrid,Defensa
64,"
Igor Zubeldia ",€18.00m ,26,Real Sociedad,Defensa
65,"
Çağlar Söyüncü ",€15.00m ,27,Atlético de Madrid,Defensa
66,"
Miguel Gutiérrez ",€15.00m ,22,Girona FC,Defensa
67,"
Fran García ",€15.00m ,24,Real Madrid,Defensa
68,"
Dani Vivian ",€15.00m ,24,Athletic Bilbao,Defensa
69,"
David García ",€15.00m ,29,CA Osasuna,Defensa
70,"
Arnau Martínez ",€15.00m ,20,Girona FC,Defensa
71,"
Daniel Carvajal ",€12.00m ,31,Real Madrid,Defensa
72,"
Javi Galán ",€12.00m ,28,Atlético de Madrid,Defensa
73,"
Eric García ",€12.00m ,22,Girona FC,Defensa
74,"
Loïc Badé ",€12.00m ,23,Sevilla FC,Defensa
75,"
Alfonso Pedraza ",€12.00m ,27,Villarreal CF,Defensa
77,"
Hamari Traoré ",€10.00m ,31,Real Sociedad,Defensa
78,"
Aritz Elustondo ",€10.00m ,29,Real Sociedad,Defensa
79,"
Juan Miranda ",€9.00m ,23,Real Betis Balompié,Defensa
80,"
Pablo Maffeo ",€8.00m ,26,RCD Mallorca,Defensa
81,"
Marcos Acuña ",€8.00m ,32,Sevilla FC,Defensa
82,"
Sergio Akieme ",€8.00m ,25,UD Almería,Defensa
83,"
Manu Sánchez ",€8.00m ,23,Celta de Vigo,Defensa
84,"
Thierry Correia ",€8.00m ,24,Valencia CF,Defensa
85,"
Yan Couto ",€8.00m ,21,Girona FC,Defensa
86,"
Aitor Paredes ",€8.00m ,23,Athletic Bilbao,Defensa
87,"
Iñigo Martínez ",€8.00m ,32,FC Barcelona,Defensa
88,"
Jon Pacheco ",€8.00m ,22,Real Sociedad,Defensa
89,"
Héctor Bellerín ",€8.00m ,28,Real Betis Balompié,Defensa
90,"
Abner ",€7.00m ,23,Real Betis Balompié,Defensa
91,"
Álvaro Carreras ",€7.00m ,20,Granada CF,Defensa
92,"
Lucas Vázquez ",€6.00m ,32,Real Madrid,Defensa
93,"
Unai Núñez ",€6.00m ,26,Celta de Vigo,Defensa
94,"
Stefan Savic ",€6.00m ,32,Atlético de Madrid,Defensa
95,"
Joseph Aidoo ",€6.00m ,28,Celta de Vigo,Defensa
96,"
Mouctar Diakhaby ",€6.00m ,26,Valencia CF,Defensa
98,"
César Montes ",€6.00m ,26,UD Almería,Defensa
99,"
Marcão ",€6.00m ,27,Sevilla FC,Defensa
100,"
Aihen Muñoz ",€6.00m ,26,Real Sociedad,Defensa
101,"
Alejandro Catena ",€6.00m ,29,CA Osasuna,Defensa
102,"
Axel Witsel ",€5.00m ,34,Atlético de Madrid,Defensa
103,"
César Azpilicueta ",€5.00m ,34,Atlético de Madrid,Defensa
104,"
Matteo Gabbia ",€5.00m ,24,Villarreal CF,Defensa
105,"
Nacho Fernández ",€5.00m ,33,Real Madrid,Defensa
106,"
Gastón Álvarez ",€5.00m ,23,Getafe CF,Defensa
107,"
Germán Pezzella ",€5.00m ,32,Real Betis Balompié,Defensa
108,"
Cenk Özkacar ",€5.00m ,23,Valencia CF,Defensa
109,"
Carl Starfelt ",€5.00m ,28,Celta de Vigo,Defensa
110,"
Youssouf Sabaly ",€5.00m ,30,Real Betis Balompié,Defensa
111,"
Adrià Pedrosa ",€5.00m ,25,Sevilla FC,Defensa
112,"
Jorge Cuenca ",€5.00m ,23,Villarreal CF,Defensa
113,"
Martin Valjent ",€4.50m ,27,RCD Mallorca,Defensa
114,"
Álvaro Odriozola ",€4.00m ,27,Real Sociedad,Defensa
115,"
Florian Lejeune ",€4.00m ,32,Rayo Vallecano,Defensa
116,"
Siebe Van der Heyden ",€4.00m ,25,RCD Mallorca,Defensa
117,"
Julián Araujo ",€4.00m ,22,UD Las Palmas,Defensa
118,"
Federico Gattoni ",€4.00m ,24,Sevilla FC,Defensa
119,"
Sergio Ramos ",€4.00m ,37,Sevilla FC,Defensa
120,"
Sergi Roberto ",€4.00m ,31,FC Barcelona,Defensa
121,"
Nemanja Gudelj ",€4.00m ,31,Sevilla FC,Defensa
122,"
Djené ",€4.00m ,31,Getafe CF,Defensa
123,"
Andoni Gorosabel ",€4.00m ,27,Deportivo Alavés,Defensa
124,"
José Ángel Carmona ",€4.00m ,21,Getafe CF,Defensa
125,"
Edgar González ",€4.00m ,26,UD Almería,Defensa
126,"
Iván Balliu ",€4.00m ,31,Rayo Vallecano,Defensa
127,"
Alfonso Espino ",€3.50m ,31,Rayo Vallecano,Defensa
128,"
Domingos Duarte ",€3.00m ,28,Getafe CF,Defensa
129,"
Óscar Mingueza ",€3.00m ,24,Celta de Vigo,Defensa
130,"
Jesús Navas ",€3.00m ,37,Sevilla FC,Defensa
131,"
David López ",€3.00m ,34,Girona FC,Defensa
132,"
José Copete ",€3.00m ,24,RCD Mallorca,Defensa
133,"
Nacho Vidal ",€3.00m ,28,CA Osasuna,Defensa
134,"
Kaiky ",€3.00m ,19,UD Almería,Defensa
135,"
Omar Alderete ",€3.00m ,26,Getafe CF,Defensa
136,"
Juanlu Sánchez ",€3.00m ,20,Sevilla FC,Defensa
137,"
Alejandro Pozo ",€3.00m ,24,UD Almería,Defensa
138,"
Iñigo Lekue ",€3.00m ,30,Athletic Bilbao,Defensa
139,"
Marc Bartra ",€3.00m ,32,Real Betis Balompié,Defensa
140,"
Rafa Marín ",€3.00m ,21,Deportivo Alavés,Defensa
141,"
Johan Mojica ",€3.00m ,31,CA Osasuna,Defensa
142,"
Marcos Alonso ",€3.00m ,32,FC Barcelona,Defensa
143,"
Javi Hernández ",€3.00m ,25,Cádiz CF,Defensa
144,"
Daley Blind ",€3.00m ,33,Girona FC,Defensa
145,"
Diego Rico ",€3.00m ,30,Getafe CF,Defensa
146,"
Álex Sola ",€3.00m ,24,Deportivo Alavés,Defensa
147,"
Jude Bellingham ",€150.00m ,20,Real Madrid,Centrocampista
148,"
Pedri ",€100.00m ,20,FC Barcelona,Centrocampista
